cycle,cycle_time_s,frequency_hz,nominal_frequency_hz,strain_amplitude,stress_amplitude_mpa,phase_lag_deg,E_star_mpa,E_storage_mpa,E_loss_mpa,tan_delta,fit_r2_min,reliable,steady_state
0,3.712,0.5005005005005004,0.5,0.0016196764531833392,2.593344774218727,8.830994007995429,1601.1498896101896,1582.169025511509,245.80916116101943,0.1553621371658128,0.9971466094575199,True,False
1,5.711500033966034,0.49975012493753135,0.5,0.0016151871152667058,2.535467446152467,8.342204840159246,1569.7670085325074,1553.1575956435638,227.74974022334553,0.1466365942916279,0.9970511753739811,True,False
2,7.712000255872064,0.49999975000012475,0.5,0.0016138995595493147,2.5433402812035335,8.148724224287621,1575.8975000363514,1559.986415634048,223.37258931672437,0.1431888041319487,0.997167117119933,True,False
3,9.710500459959961,0.5007511266900351,0.5,0.0016138216806291824,2.5508283038925086,8.00079280061135,1580.613480727322,1565.2280149933233,220.00053758343685,0.14055494501507199,0.9972384960841162,True,False
4,11.709500558941059,0.49975012493753135,0.5,0.0016146906676989654,2.558875620091695,8.017370709647311,1584.7466460794326,1569.2570618077452,221.02987632112783,0.1408500122131086,0.9972404057134385,True,False
5,13.712000658852869,0.4990019960079841,0.5,0.0016145432416125225,2.566846334014073,8.025860570798145,1589.8281742212362,1574.2560485958907,221.9718833701284,0.14100113102192582,0.9973132234891837,True,True
6,15.712500749749749,0.5007513774418518,0.5,0.001613389980341586,2.568219982236314,7.853377466319101,1591.8159983196203,1576.8863182267519,217.50336065350396,0.13793217566761054,0.9974238943989632,True,True
7,17.709500833333333,0.5007511266900351,0.5,0.0016135268550874445,2.572608650002657,7.9226995951692345,1594.400887652555,1579.1822233288074,219.7673680725596,0.13916530013192852,0.9974391753944433,True,True
8,19.707500934000002,0.500249874812468,0.5,0.0016152899589227893,2.5769803918993732,7.8641482258396715,1595.3670594336634,1580.3630673009322,218.28566108932299,0.13812374232595065,0.9974352999721814,True,True
9,21.709001031421447,0.49900224501110113,0.5,0.0016188076402601918,2.5835751596217733,7.861379410416743,1595.974157378275,1580.975006465753,218.29232682324724,0.13807449575767589,0.9974206215457188,True,True
10,23.710001134067035,0.5004999994994992,0.5,0.001615447040427558,2.583511523148197,7.830367695302914,1599.2548554636758,1584.3430351297886,217.88354632663646,0.13752296156544627,0.9974992767332291,True,True
11,25.707501231731733,0.5007513774418518,0.5,0.0016154798848131832,2.5868557397745,7.7572017150446975,1601.292448202565,1586.6389243797814,216.13520840791915,0.13622205095743922,0.9975507903241688,True,True
12,27.705501332,0.5002498748124689,0.5,0.0016159155126144506,2.5894484232207278,7.711921483392167,1602.4652297762534,1587.9714123103888,215.03861589679656,0.135417183350883,0.9975192342974948,True,True
13,29.706501431636728,0.4992511233150274,0.5,0.0016185861506683307,2.5961346638293046,7.774791173797022,1603.9521052106707,1589.2077054036067,216.98208427320787,0.13653475473056653,0.9974832304270104,True,True
